edge 262 has vertices 88 , 108
edge 263 has vertices 106 , 108
edge 264 has vertices 108 , 104
edge 265 has vertices 89 , 109
edge 266 has vertices 99 , 109
edge 267 has vertices 105 , 109
edge 268 has vertices 90 , 110
edge 269 has vertices 110 , 93
edge 270 has vertices 111 , 91
edge 271 has vertices 111 , 92
edge 272 has vertices 111 , 94
edge 273 has vertices 111 , 112
edge 274 has vertices 92 , 112
edge 275 has vertices 110 , 112
edge 276 has vertices 93 , 112
edge 277 has vertices 111 , 113
edge 278 has vertices 113 , 94
edge 279 has vertices 113 , 114
edge 280 has vertices 94 , 114
edge 281 has vertices 95 , 114
edge 282 has vertices 95 , 115
edge 283 has vertices 114 , 115
edge 284 has vertices 96 , 115
edge 285 has vertices 104 , 115
edge 286 has vertices 116 , 97
edge 287 has vertices 116 , 102
edge 288 has vertices 116 , 98
edge 289 has vertices 117 , 116
edge 290 has vertices 117 , 99
edge 291 has vertices 117 , 98
edge 292 has vertices 117 , 118
edge 293 has vertices 99 , 118
edge 294 has vertices 109 , 118
edge 295 has vertices 119 , 100
edge 296 has vertices 120 , 119
edge 297 has vertices 119 , 121
edge 298 has vertices 100 , 121
edge 299 has vertices 121 , 103
edge 300 has vertices 121 , 122
edge 301 has vertices 101 , 122
edge 302 has vertices 116 , 122
edge 303 has vertices 102 , 122
edge 304 has vertices 122 , 103
edge 305 has vertices 108 , 123
edge 306 has vertices 123 , 115
edge 307 has vertices 123 , 104
edge 308 has vertices 107 , 124
edge 309 has vertices 105 , 124
edge 310 has vertices 109 , 124
edge 311 has vertices 106 , 125
edge 312 has vertices 107 , 125
edge 313 has vertices 125 , 108
edge 314 has vertices 125 , 123
edge 315 has vertices 124 , 125
edge 316 has vertices 109 , 126
edge 317 has vertices 124 , 126
edge 318 has vertices 126 , 118
edge 319 has vertices 110 , 127
edge 320 has vertices 127 , 112
edge 321 has vertices 127 , 128
edge 322 has vertices 111 , 128
edge 323 has vertices 128 , 112
edge 324 has vertices 128 , 113
edge 325 has vertices 128 , 129
edge 326 has vertices 129 , 113
edge 327 has vertices 114 , 129
edge 328 has vertices 129 , 130
edge 329 has vertices 123 , 130
edge 330 has vertices 130 , 114
edge 331 has vertices 130 , 115
edge 332 has vertices 118 , 131
edge 333 has vertices 126 , 131
edge 334 has vertices 117 , 132
edge 335 has vertices 132 , 116
edge 336 has vertices 132 , 122
edge 337 has vertices 117 , 133
edge 338 has vertices 132 , 133
edge 339 has vertices 133 , 118
edge 340 has vertices 133 , 131
edge 341 has vertices 134 , 120
edge 342 has vertices 134 , 135
edge 343 has vertices 120 , 135
edge 344 has vertices 119 , 136
edge 345 has vertices 120 , 136
edge 346 has vertices 135 , 136
edge 347 has vertices 136 , 121
edge 348 has vertices 136 , 137
edge 349 has vertices 132 , 137
edge 350 has vertices 137 , 121
edge 351 has vertices 137 , 122
edge 352 has vertices 138 , 134
edge 353 has vertices 125 , 139
edge 354 has vertices 139 , 123
edge 355 has vertices 139 , 130
edge 356 has vertices 126 , 140
edge 357 has vertices 140 , 131
edge 358 has vertices 141 , 124
edge 359 has vertices 141 , 125
edge 360 has vertices 141 , 126
edge 361 has vertices 141 , 139
edge 362 has vertices 140 , 141
edge 363 has vertices 127 , 142
edge 364 has vertices 142 , 128
edge 365 has vertices 142 , 143
edge 366 has vertices 143 , 129
edge 367 has vertices 128 , 143
edge 368 has vertices 129 , 144
edge 369 has vertices 143 , 144
edge 370 has vertices 144 , 139
edge 371 has vertices 144 , 130
edge 372 has vertices 145 , 133
edge 373 has vertices 145 , 140
edge 374 has vertices 145 , 131
edge 375 has vertices 132 , 146
edge 376 has vertices 137 , 146
edge 377 has vertices 145 , 146
edge 378 has vertices 133 , 146
edge 379 has vertices 138 , 147
edge 380 has vertices 134 , 147
edge 381 has vertices 147 , 135
edge 382 has vertices 148 , 147
edge 383 has vertices 148 , 135
edge 384 has vertices 148 , 136
edge 385 has vertices 148 , 137
edge 386 has vertices 148 , 146
edge 387 has vertices 147 , 149
edge 388 has vertices 138 , 149
edge 389 has vertices 150 , 138
edge 390 has vertices 150 , 149
edge 391 has vertices 151 , 150
edge 392 has vertices 145 , 152
edge 393 has vertices 152 , 140
edge 394 has vertices 141 , 153
edge 395 has vertices 153 , 139
edge 396 has vertices 144 , 153
edge 397 has vertices 153 , 154
edge 398 has vertices 152 , 154
edge 399 has vertices 154 , 140
edge 400 has vertices 141 , 154
edge 401 has vertices 142 , 155
edge 402 has vertices 155 , 143
edge 403 has vertices 155 , 156
edge 404 has vertices 156 , 143
edge 405 has vertices 156 , 144
edge 406 has vertices 157 , 156
edge 407 has vertices 157 , 153
edge 408 has vertices 157 , 144
edge 409 has vertices 158 , 151
edge 410 has vertices 159 , 145
edge 411 has vertices 159 , 152
edge 412 has vertices 159 , 146
edge 413 has vertices 148 , 160
edge 414 has vertices 159 , 160
edge 415 has vertices 160 , 146
edge 416 has vertices 149 , 161
edge 417 has vertices 160 , 161
edge 418 has vertices 147 , 161
edge 419 has vertices 161 , 148
edge 420 has vertices 149 , 162
edge 421 has vertices 161 , 162
edge 422 has vertices 151 , 162
edge 423 has vertices 162 , 150
edge 424 has vertices 158 , 163
edge 425 has vertices 151 , 163
edge 426 has vertices 162 , 163
edge 427 has vertices 164 , 159
edge 428 has vertices 164 , 152
edge 429 has vertices 164 , 154
edge 430 has vertices 157 , 165
edge 431 has vertices 164 , 165
edge 432 has vertices 165 , 153
edge 433 has vertices 165 , 154
edge 434 has vertices 155 , 166
edge 435 has vertices 166 , 156
edge 436 has vertices 166 , 167
edge 437 has vertices 157 , 167
edge 438 has vertices 167 , 156
edge 439 has vertices 167 , 168
edge 440 has vertices 165 , 168
edge 441 has vertices 157 , 168
edge 442 has vertices 158 , 169
edge 443 has vertices 169 , 163
edge 444 has vertices 170 , 158
edge 445 has vertices 170 , 169
edge 446 has vertices 164 , 171
edge 447 has vertices 159 , 171
edge 448 has vertices 160 , 171
edge 449 has vertices 172 , 169
edge 450 has vertices 172 , 163
edge 451 has vertices 160 , 173
edge 452 has vertices 161 , 173
edge 453 has vertices 172 , 173
edge 454 has vertices 162 , 173
edge 455 has vertices 171 , 173
edge 456 has vertices 173 , 163
edge 457 has vertices 164 , 174
edge 458 has vertices 171 , 174
edge 459 has vertices 168 , 174
edge 460 has vertices 165 , 174
edge 461 has vertices 166 , 175
edge 462 has vertices 175 , 167
edge 463 has vertices 176 , 170
edge 464 has vertices 177 , 168
edge 465 has vertices 177 , 174
edge 466 has vertices 175 , 178
edge 467 has vertices 167 , 178
edge 468 has vertices 178 , 177
edge 469 has vertices 178 , 168
edge 470 has vertices 176 , 179
edge 471 has vertices 179 , 172
edge 472 has vertices 179 , 169
edge 473 has vertices 179 , 170
edge 474 has vertices 179 , 180
