6.460915136230483e-12 + 0.0im
1.3382073227319324e-12 + 0.0im
-4.011973045447981e-12 + 0.0im
-8.900727377358919e-13 + 0.0im
6.645517469650031e-13 + 0.0im
5.529743329901748e-13 + 0.0im
-1.21198884261986e-12 + 0.0im
5.315192730392937e-15 + 0.0im
-1.711686348215835e-13 + 0.0im
-7.843725668976731e-14 + 0.0im
-2.3901020052008448e-14 + 0.0im
-1.533984744783723e-12 + 0.0im
-4.14934753223406e-12 + 0.0im
-1.7542328700770327e-11 + 0.0im
2.3344867705610284e-13 + 0.0im
3.5019487309995156e-12 + 0.0im
2.185605862958795e-11 + 0.0im
8.05244759760626e-12 + 0.0im
1.6093376631332035e-12 + 0.0im
8.121822658857525e-12 + 0.0im
2.4766855233337992e-12 + 0.0im
2.6857016610648543e-11 + 0.0im
6.743855474056204e-12 + 0.0im
1.279525096986589e-12 + 0.0im
-2.6998014934775938e-11 + 0.0im
-7.907841048648834e-12 + 0.0im
2.0426438318565943e-12 + 0.0im
-2.0353718710452995e-11 + 0.0im
-3.8701521154482776e-11 + 0.0im
-3.251782176860729e-11 + 0.0im
-1.881467204256637e-11 + 0.0im
6.428191312579656e-11 + 0.0im
5.827527349566708e-11 + 0.0im
8.316664024121678e-11 + 0.0im
6.125960849701073e-11 + 0.0im
1.5045673040781082e-12 + 0.0im
-7.59520224491439e-12 + 0.0im
3.770539436231957e-12 + 0.0im
-2.5707352913073578e-12 + 0.0im
5.201072905691717e-11 + 0.0im
5.978212369583957e-11 + 0.0im
1.554129047676156e-11 + 0.0im
4.971116573937451e-11 + 0.0im
5.036142336489746e-11 + 0.0im
3.669385628679578e-11 + 0.0im
-1.7562021281669615e-11 + 0.0im
4.8522186268940004e-11 + 0.0im
-4.709140022374214e-11 + 0.0im
1.2954019801281191e-11 + 0.0im
-2.7363472598906924e-11 + 0.0im
-4.125771946306145e-11 + 0.0im
3.387892744122212e-11 + 0.0im
5.286057008779821e-11 + 0.0im
4.5865922171373086e-11 + 0.0im
3.03093106168717e-11 + 0.0im
-9.146922108627109e-11 + 0.0im
-9.807955836382831e-11 + 0.0im
-9.207384854548195e-11 + 0.0im
-8.404921203464255e-11 + 0.0im
1.1350861917058808e-10 + 0.0im
1.1198374172405323e-10 + 0.0im
6.109637795681522e-11 + 0.0im
1.0400091898787878e-10 + 0.0im
