0.10943681315169901 + 0.0im
0.10999241257298192 + 0.0im
0.10999241257297834 + 0.0im
0.10284799111036069 + 0.0im
0.09578234538318772 + 0.0im
0.10170917067578278 + 0.0im
0.10759767161660364 + 0.0im
0.10759767160154494 + 0.0im
0.10759767160094152 + 0.0im
0.10552110670487547 + 0.0im
0.004410447378593323 + 0.0im
0.003323496117804332 + 0.0008424905362221921im
0.003323496117804332 - 0.0008424905362221921im
0.0007374033449266614 + 0.0im
0.0007374033452942507 + 0.0im
0.0007374033449473445 + 0.0im
0.0007374033450861664 + 0.0im
0.0008625846083008216 + 0.0im
0.0008625846080976214 + 0.0im
0.0008625846080296584 + 0.0im
0.000862584608071504 + 0.0im
0.003323496117427647 + 0.0008424905360536487im
0.003323496117427647 - 0.0008424905360536487im
0.0033234961177752266 + 0.0008424905361047677im
0.0033234961177752266 - 0.0008424905361047677im
0.002174135880445243 + 0.0002840378515901682im
0.002174135880445243 - 0.0002840378515901682im
0.0048436732046623025 + 0.001315652540602765im
0.0048436732046623025 - 0.001315652540602765im
0.004843673204801426 + 0.0013156525405944287im
0.004843673204801426 - 0.0013156525405944287im
0.004843673203933083 + 0.0013156525403121679im
0.004843673203933083 - 0.0013156525403121679im
0.0021741358803057404 + 0.0002840378514033393im
0.0021741358803057404 - 0.0002840378514033393im
0.002174135880525851 + 0.0002840378513375543im
0.002174135880525851 - 0.0002840378513375543im
0.004843673204334086 + 0.001315652540471726im
0.004843673204334086 - 0.001315652540471726im
0.002174135880465995 + 0.00028403785144454237im
0.002174135880465995 - 0.00028403785144454237im
0.001778167175820535 + 0.00010725480381620668im
0.001778167175820535 - 0.00010725480381620668im
0.0017781671758438857 + 0.00010725480380689203im
0.0017781671758438857 - 0.00010725480380689203im
0.0017781671757056035 + 0.00010725480383496383im
0.0017781671757056035 - 0.00010725480383496383im
0.0017781671757477807 + 0.0001072548038481878im
0.0017781671757477807 - 0.0001072548038481878im
0.0964108568195662 + 0.0im
0.10170917067571872 + 0.0im
0.10552110670466688 + 0.0im
0.10370691202908287 + 0.0im
0.10552110669011529 + 0.0im
0.10439756773960651 + 0.0im
0.103706912028842 + 0.0im
0.09982104509504826 + 0.0im
0.09982104508093433 + 0.0im
0.09982104508166001 + 0.0im
0.10439756772558922 + 0.0im
0.10439756772360302 + 0.0im
0.0998210450950789 + 0.0im
0.10439756773964073 + 0.0im
0.10370691201460541 + 0.0im
0.10370691201394103 + 0.0im
0.10552110669008642 + 0.0im
0.00652394544344896 + 0.0im
0.003323496117781026 + 0.0008424905361511698im
0.003323496117781026 - 0.0008424905361511698im
0.00985376522603226 + 0.0im
0.006046161741555262 + 0.0016501530474984521im
0.006046161741555262 - 0.0016501530474984521im
0.009853765226013632 + 0.0im
0.009853765224828268 + 0.0im
0.006046161741548456 + 0.0016501530475110434im
0.006046161741548456 - 0.0016501530475110434im
0.009853765224807387 + 0.0im
0.00604616174057304 + 0.0016501530471371953im
0.00604616174057304 - 0.0016501530471371953im
0.00604616174091583 + 0.0016501530473292296im
0.00604616174091583 - 0.0016501530473292296im
0.007282289848528561 + 0.0im
0.004410447377967698 + 0.0im
0.004410447378486005 + 0.0im
0.008255413076458232 + 0.0im
0.008255413075195893 + 0.0im
0.004410447377938283 + 0.0im
0.008255413075252084 + 0.0im
0.008255413076573563 + 0.0im
0.007282289848558271 + 0.0im
0.007282289847532614 + 0.0im
0.00728228984756884 + 0.0im
1.6754350874292702e-13 + 0.0im
4.6368375918645334e-14 + 0.0im
2.1155275330238986e-14 + 0.0im
1.6406158315623725e-14 + 0.0im
3.574255195198792e-15 + 0.0im
-5.121541704733427e-15 + 0.0im
